title,url,status,Identificador,Expedient,Finalització de presentació de sol·licituds,Sistema de selecció,Tipus de personal,Grup de titulació o assimilat,Titulació requerida,Altres requisits,Matèries,Web de l'ens convocant,Accés al tràmit,Observacions,Inici de presentació de sol·licituds,Torn reservat
1 plaça de Tècnic,https://cido.diba.cat/oposicions/20558770/1-placa-de-tecnic-sindic-de-greuges-de-catalunya,Termini obert,20251105O12,convocatòria 05,17/04/2026,Concurs oposició o valoració de mèrits i prova,Funcionari,A1 - Grau universitari (correspondència amb llicenciatures),"Grau, enginyeria o llicenciatura en informàtica, telecomunicacions, ciències de les dades o similar",Nivell C1 de català,"Enginyeria de telecomunicacions, Informàtica",https://www.sindic.cat/ca/page.asp?id=347,https://seue.sindic.cat/sinseu/webclientrwd/iseu.html,,,
1 plaça de Tècnic de noves tecnologies,https://cido.diba.cat/oposicions/21339525/1-placa-de-tecnic-de-noves-tecnologies-ajuntament-de-salt,Termini obert,20260331O9,,16/04/2026,Concurs o valoració de mèrits,Funcionari interí,A2 - Grau universitari (correspondència amb diplomatures),"Grau universitari, diplomatura o titulació equivalent en l'àmbit d'informàtica i de les noves tecnologies",,"Informàtica, Noves tecnologies",https://www.viladesalt.cat/arees-serveis/area-de-serveis-generals-i-economics/recursos-humans-rrhh/rrhh-oferta-places/,,"Segons els requisits de participació, cal ser funcionari de carrera (comissió de serveis) / Codi de treball: 1.401",,
1 plaça d'Analista-programador informàtic,https://cido.diba.cat/oposicions/21340407/1-placa-danalista-programador-informatic-generalitat-de-catalunya-departament-deconomia-i-finances,Termini obert,20251229O58,L009/26,16/04/2026,Concurs oposició o valoració de mèrits i prova,Laboral,A2 - Grau universitari (correspondència amb diplomatures),"Grau, doctorat, llicenciatura, enginyeria o arquitectura, o equivalent",Nivell C1 de català,Anàlisi / Programació,https://tauler.seu-e.cat/inici?idEns=1,https://web.gencat.cat/ca/ciutadania/serveis,Vinculat a la jubilació parcial de la persona que ocupa el lloc de treball amb codi L011608,,
1 plaça de Postdoctoral Researcher in Computational Genetics (Heidelberg),https://cido.diba.cat/oposicions/21339714/1-placa-de-postdoctoral-researcher-in-computational-genetics-heidelberg-consorci-parc-de-recerca-biomedica-de-barcelona-prbb-european-molecular-biology-laboratory-embl,Termini obert,20260330O52,JR3301,30/04/2026,Concurs o valoració de mèrits,Laboral temporal,A1 - Grau universitari (correspondència amb llicenciatures),Vegeu les bases,,"Biologia, Enginyeria sense especificar, Física, Informàtica, Recerca / Laboratori",https://embl.wd103.myworkdayjobs.com/EMBL?l=barcelona,https://embl.wd103.myworkdayjobs.com/en-US/EMBL/job/Heidelberg/Postdoctoral-Researcher-in-Computational-Genetics_JR3301?l=barcelona,,,
1 plaça de Tècnic de recerca,https://cido.diba.cat/oposicions/21339748/1-placa-de-tecnic-de-recerca-fundacio-institut-hospital-del-mar-dinvestigacions-mediques-imim,Termini obert,20260330O54,FIMIM3214-SOLER,"30/04/2026 - Data orientativa; si teniu algun dubte, consulteu l'ens convocant / Obert fins a trobar la persona candidata adequada",Concurs o valoració de mèrits,Laboral temporal,A - Grau universitari,"Grau en Enginyeria Informàtica, Telecomunicacions, Ciència de Dades, Matemàtiques, Estadística i/o similar",Alt nivell d'anglès,"Enginyeria de telecomunicacions, Enginyeria sense especificar, Informàtica, Recerca / Laboratori",https://www.imim.cat/ofertes/convocatories-temporals.html,https://intranet.imim.cat/solicitudcontractes/3257/candidatcontractes/new,Data d'incorporació: abril 2026,,
1 plaça de Tècnic d'anàlisi de dades i experiència d'usuari,https://cido.diba.cat/oposicions/21339652/1-placa-de-tecnic-danalisi-de-dades-i-experiencia-dusuari-universitat-oberta-de-catalunya-uoc,Termini obert,20260330O51,,05/04/2026,Concurs o valoració de mèrits,Laboral,A - Grau universitari,Formació a nivell universitari,Castellà i català / Nivell B2 d'anglès o titulació equivalent,Anàlisi / Programació,https://tauler.seu-e.cat/inici?idEns=18,https://selection.uoc.edu/web/profile/login.aspx,,,
1 plaça de Tècnic mitjà - TIC recerca,https://cido.diba.cat/oposicions/21339543/1-placa-de-tecnic-mitja-tic-recerca-universitat-pompeu-fabra-upf,Termini obert,20260330O47,ENG-PTGAS-PROJ-2026-16,17/04/2026,Concurs o valoració de mèrits,Laboral temporal,A2 - Grau universitari (correspondència amb diplomatures),"Titulació universitària de grau mitjà o graduat universitari, en l'àmbit de les TIC o amb capacitat suficientment provada",Nivell C1 de català / Nivell B2.2 d'anglès,"Informàtica, Recerca / Laboratori",https://www.upf.edu/web/enginyeria/convocatories-psr,https://apply.interfolio.com/184006,,,
1 plaça de Pràctiques SOC + Monitoring,https://cido.diba.cat/oposicions/21339518/1-placa-de-practiques-soc-monitoring-upcnet-sl,Termini obert,20260330O46,req422,"30/04/2026 - Data orientativa; si teniu algun dubte, consulteu l'ens convocant / Obert fins a trobar la persona candidata adequada",Concurs o valoració de mèrits,Laboral temporal,"C1 - Batxillerat, FP 2n grau, cicles formatius grau superior",Estar cursant cicle superior ASIX,,"Informàtica, Recerca / Laboratori",https://upcnet.csod.com/ux/ats/careersite/2/home?c=upcnet&amp;lang=es-CA,https://upcnet.csod.com/ux/ats/careersite/2/requisition/422/application?c=upcnet&lang=es-CA&jobboardid=0,Horari de tardes,,
1 plaça de Cap de la Unitat d'Informàtica,https://cido.diba.cat/oposicions/21246820/1-placa-de-cap-de-la-unitat-dinformatica-ajuntament-damposta,Termini obert,20260313O12,1458/2026/100,16/04/2026,Concurs oposició o valoració de mèrits i prova,Funcionari,A1 - Grau universitari (correspondència amb llicenciatures),Grau Universitari en Enginyeria Informàtica o equivalent,Nivell C1 de català,Informàtica,https://www.amposta.cat/ca/n3/ajuntament/empleats-publics/ofertes-publiques-de-treball,,,,
1 plaça de Full Stack Web Application Developer Bioinformatics (Hinxton),https://cido.diba.cat/oposicions/21334390/1-placa-de-full-stack-web-application-developer-bioinformatics-hinxton-consorci-parc-de-recerca-biomedica-de-barcelona-prbb-european-molecular-biology-laboratory-embl,Termini obert,20260327O92,JR3488,12/04/2026 23:59 h,Concurs o valoració de mèrits,Laboral temporal,A1 - Grau universitari (correspondència amb llicenciatures),"Llicenciatura o màster en informàtica, bioinformàtica, enginyeria de programari o un camp relacionat",Anglès,"Anàlisi / Programació, Biologia, Informàtica, Recerca / Laboratori",https://embl.wd103.myworkdayjobs.com/EMBL?l=barcelona,https://embl.wd103.myworkdayjobs.com/en-US/EMBL/job/Hinxton-Cambridgeshire/Full-Stack-Web-Application-Developer-Bioinformatics_JR3488?l=barcelona,,,
