title,url,status,sistema,sistema_simplificat,tipus_personal,tipus_personal_simplificat,grup_titulacio,grup_titulacio_simplificat,perfil_recerca,data_inici,data_final,n_materies,n_materies_cap,requereix_angles,requereix_catala,requereix_catala_c1,requisit_catala_simplificat,materia_informatica,materia_tecnologia,materia_enginyeria,cluster
1 plaça de Tècnic,https://cido.diba.cat/oposicions/20558770/1-placa-de-tecnic-sindic-de-greuges-de-catalunya,Termini obert,Concurs oposició o valoració de mèrits i prova,prova_o_oposicio,Funcionari,funcionari_o_interi,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,No_recerca,NA,2026-04-17,2,2,FALSE,TRUE,TRUE,catala_c1,TRUE,TRUE,TRUE,2
1 plaça de Tècnic de noves tecnologies,https://cido.diba.cat/oposicions/21339525/1-placa-de-tecnic-de-noves-tecnologies-ajuntament-de-salt,Termini obert,Concurs o valoració de mèrits,merits,Funcionari interí,funcionari_o_interi,A2 - Grau universitari (correspondència amb diplomatures),universitari_altres,No_recerca,NA,2026-04-16,2,2,FALSE,FALSE,FALSE,no_especificat,TRUE,FALSE,FALSE,1
1 plaça d'Analista-programador informàtic,https://cido.diba.cat/oposicions/21340407/1-placa-danalista-programador-informatic-generalitat-de-catalunya-departament-deconomia-i-finances,Termini obert,Concurs oposició o valoració de mèrits i prova,prova_o_oposicio,Laboral,laboral_no_temporal,A2 - Grau universitari (correspondència amb diplomatures),universitari_altres,No_recerca,NA,2026-04-16,1,1,FALSE,TRUE,TRUE,catala_c1,TRUE,FALSE,FALSE,2
1 plaça de Postdoctoral Researcher in Computational Genetics (Heidelberg),https://cido.diba.cat/oposicions/21339714/1-placa-de-postdoctoral-researcher-in-computational-genetics-heidelberg-consorci-parc-de-recerca-biomedica-de-barcelona-prbb-european-molecular-biology-laboratory-embl,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-30,5,5,FALSE,FALSE,FALSE,no_especificat,TRUE,FALSE,TRUE,1
1 plaça de Tècnic de recerca,https://cido.diba.cat/oposicions/21339748/1-placa-de-tecnic-de-recerca-fundacio-institut-hospital-del-mar-dinvestigacions-mediques-imim,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A - Grau universitari,universitari_altres,Recerca,NA,2026-04-30,4,4,TRUE,FALSE,FALSE,no_especificat,TRUE,TRUE,TRUE,3
1 plaça de Tècnic d'anàlisi de dades i experiència d'usuari,https://cido.diba.cat/oposicions/21339652/1-placa-de-tecnic-danalisi-de-dades-i-experiencia-dusuari-universitat-oberta-de-catalunya-uoc,Termini obert,Concurs o valoració de mèrits,merits,Laboral,laboral_no_temporal,A - Grau universitari,universitari_altres,No_recerca,NA,2026-04-05,1,1,TRUE,TRUE,FALSE,catala_altre,TRUE,FALSE,FALSE,3
1 plaça de Tècnic mitjà - TIC recerca,https://cido.diba.cat/oposicions/21339543/1-placa-de-tecnic-mitja-tic-recerca-universitat-pompeu-fabra-upf,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A2 - Grau universitari (correspondència amb diplomatures),universitari_altres,Recerca,NA,2026-04-17,2,2,TRUE,TRUE,TRUE,catala_c1,TRUE,FALSE,FALSE,2
1 plaça de Pràctiques SOC + Monitoring,https://cido.diba.cat/oposicions/21339518/1-placa-de-practiques-soc-monitoring-upcnet-sl,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,"C1 - Batxillerat, FP 2n grau, cicles formatius grau superior",no_universitari,Recerca,NA,2026-04-30,2,2,FALSE,FALSE,FALSE,no_especificat,TRUE,FALSE,FALSE,1
1 plaça de Cap de la Unitat d'Informàtica,https://cido.diba.cat/oposicions/21246820/1-placa-de-cap-de-la-unitat-dinformatica-ajuntament-damposta,Termini obert,Concurs oposició o valoració de mèrits i prova,prova_o_oposicio,Funcionari,funcionari_o_interi,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,No_recerca,NA,2026-04-16,1,1,FALSE,TRUE,TRUE,catala_c1,TRUE,FALSE,FALSE,2
1 plaça de Full Stack Web Application Developer Bioinformatics (Hinxton),https://cido.diba.cat/oposicions/21334390/1-placa-de-full-stack-web-application-developer-bioinformatics-hinxton-consorci-parc-de-recerca-biomedica-de-barcelona-prbb-european-molecular-biology-laboratory-embl,Termini obert,Concurs o valoració de mèrits,merits,Laboral temporal,laboral_temporal,A1 - Grau universitari (correspondència amb llicenciatures),universitari_a1,Recerca,NA,2026-04-12,4,4,TRUE,FALSE,FALSE,no_especificat,TRUE,FALSE,FALSE,3
